,title,price,time,content,like,Attention,location
1_0,"(웨어러블)에어팟,애플워치.최고가 매입!!","777,777,777원",1달 전,"번개장터에 드디어 ⭐노란마켓⭐이 떴다!

❤매입 특별기간❤
""지금 중고폰 판매시 최대 5만원 추가지급"" 
-

❓
개인거래여서 잠수타면 어떡하지 걱정되시나요?
생각했던 금액이 아닐까봐 걱정되시나요?

❗
이제는 그런 걱정 할 필요 없습니다!

믿을만한 브랜드여서 믿고 보낼수 있고,
금액이 안맞아도 무료반송이여서, 부담 없이 보내실수 있습니다.

보내기 귀찮다 ,너무 번거롭다 하면
노란마켓은 기사님께서 직접 픽업도 하러 가십니다.
*픽업요청은 번개톡 또는 직통상담으로 신청하시면 됩니다.

-

※ 중고거래 특성상 사기당하는 경우가 자주 발생하고,
말도 안되는 이유로 금액을 낮게 측정하는 경우가 많습니다.

그 . 래 . 서 
노란마켓은 고객님께서 금액이 마음에 들지 않으면
⛔무ㆍ조ㆍ건ㆍ무ㆍ료ㆍ반ㆍ송 ⛔

모르는 불안한 업체에 기계보냈다가 후회하지마시고,
인증된 법인기업 노란마켓에 보내주세요!


-

⭐️거래방법
①상담 후 택배 보내주시면 즉시 검사후 연락 드리고 바로 현금이체 해드립니다!
②택배 보낸 후 문자로 보내시는 제품, 계좌번호, 운송장을 남겨주세요.
③후기에 별 다섯개 + 팔로잉하고 인증샷 보내면 5천원 추가로 드립니다! 

⭐️택배주소
받는 이 : 노란마켓 번개장터 매입팀
전화번호 : ***-****-**** [매입팀 직통번호]
주소 : 서울특별시 광진구 군자로 70, 2층 노란마켓 본사 매입2팀

⭐️노란마켓 직통상담💁🏻 ♀️
카톡상담 이용시 더 빠른 답변을 받을 수 있습니다.
문의번호 : ***-****-****
카카오톡 : ****://pf.kakao.com/_rajsxb

무료배송으로 했더니 타업체들의 영업방해 목적 배송이 늘어나네요, 
실매입가 만원미만 또는 폐폰은 택배비 지원이 불가능합니다.",110,6656,서울특별시 광진구 군자동
1_1,애플워치 정품 실리콘 스트랩,"10,000원",16시간 전,"사진에 보이는 M/L 사이즈 줄 하나만 양도합니다
✅저 줄 하나만 양도하니 따로 질문받지 않겠습니다
(케이스X)
화이트 스포츠 밴드입니다.40mm용 이에요 
한번도 껴보지 않은 새 제품이에요
+ 택포 3000원 추가해주세요",0,16,전국
1_2,애플워치 나이키 스포츠밴드 40미리,"25,000원",16시간 전,2회 실착후 보관중,1,8,전라북도 전주시 덕진구 송천2동지역인증
1_3,애플워치5세대40mm wifi,"390,000원",16시간 전,"애플워치5세대 40mm wifi
애플매장에서 직접 구매한 상품입니다! 
가죽줄도 최근에 애플매장에서 구매했는데, 
자주 착용하지 않아 판매합니다! 
상태는 이미지와 동일하며 한동안 사용을 안했습니다!! 기스는 왼쪽 상단에 한줄있는 거 말고는 없습니다!!!  애플워치5세대 사용해보니 왜 이제 샀나 싶을 정도로 활용도가 높은편입니다!! 저는 핸드폰을 3개씩 가지고 다니는 편이라....기계를 줄이고 싶은 마음에 판매합니다....ㅠㅠ",0,60,서울특별시 동작구 대방동지역인증
1_4,애플워치 나이키 스포츠밴드 40미리,"25,000원",16시간 전,2회 실착후 보관중,1,11,전라북도 전주시 덕진구 송천2동지역인증
1_5,애플워치5세대40mm wifi,"390,000원",16시간 전,"애플워치5세대 40mm wifi
애플매장에서 직접 구매한 상품입니다! 
가죽줄도 최근에 애플매장에서 구매했는데, 
자주 착용하지 않아 판매합니다! 
상태는 이미지와 동일하며 한동안 사용을 안했습니다!! 기스는 왼쪽 상단에 한줄있는 거 말고는 없습니다!!!  애플워치5세대 사용해보니 왜 이제 샀나 싶을 정도로 활용도가 높은편입니다!! 저는 핸드폰을 3개씩 가지고 다니는 편이라....기계를 줄이고 싶은 마음에 판매합니다....ㅠㅠ",0,60,서울특별시 동작구 대방동지역인증
1_6,애플워치 소가죽 스트랩,"11,000원",16시간 전,"38/40mm 호환제품이고 위 사진 5개중에 가운데 색상인 아이보리컬러입니다! 
하지만 생각보다 핑크베이지느낌이 있어 스그인 제게는 안어울려 판매합니다!
소가죽제품이고 딱한번 착용한 거의 새제품입니다!
슬림형이라 여성분들 로즈골드나 실버 워치에 잘 어울릴꺼같아요😊",0,9,전국
1_7,애플워치 스트랩 실버 새상품,"8,000원",16시간 전,"애플워치 스트랩 실버상품입니다. 
38.40 호환가능 
새상품 

망우역 직거래
반값택배 가능",4,185,서울특별시 중랑구 망우본동지역인증
1_8,애플워치6 나이키 40mm미개봉,"320,000원",16시간 전,"선물받아 쓰지않아서팝니다.

세종직거래및택배가능해옹",2,88,전국
1_9,"애플워치 se 40mm 골드 알루미늄 케이스, 핑크샌드 미개봉","350,000원",16시간 전,"상품으로 받았는데 잘 안 쓸 것 같아 배송 오자마자 판매해요 
미개봉 새상품입니다",1,59,전국
