[2021-04-27 23:11:42,480][INFO|crawlingdata.py;80] >> ['mbpro_210427231136', 'mbpro', '맥북프로m1 512g 거의새것', '1,550,000원', '16시간 전', '어느정도 네고 가능해요 꽉막힌 사람 아닙니다 ㅠㅠ\n1월중순쯤 사서 유튜브만 봤어요 ', '2', '64', '인천광역시 남구 주안1동지역인증', '상점후기3', '쇼핑죠하상품9팔로워3', '21-04-27 23:11:36']
[2021-04-27 23:11:48,830][INFO|crawlingdata.py;80] >> ['mbpro_210427231142', 'mbpro', '맥북프로13인치 급처분', '900,000원', '16시간 전', '맥북 구입은 작년1월에했고요 액정 리퍼한번받았어요 사용 거의안하고 집에만있어용 ', '0', '27', '경기도 김포시 장기동지역인증', '상점후기', '상점76272778상품2팔로워0', '21-04-27 23:11:42']
[2021-04-27 23:11:55,154][INFO|crawlingdata.py;80] >> ['mbpro_210427231148', 'mbpro', '맥북프로13인치 급처분', '900,000원', '16시간 전', '맥북 구입은 작년1월에했고요 액정 리퍼한번받았어요 사용 거의안하고 집에만있어용 ', '0', '27', '경기도 김포시 장기동지역인증', '상점후기', '상점76272778상품2팔로워0', '21-04-27 23:11:48']
[2021-04-27 23:12:01,528][INFO|crawlingdata.py;80] >> ['mbpro_210427231155', 'mbpro', '풀박스 상태A급 맥북프로15인치 2012mid', '500,000원', '16시간 전', '거의 집에서만 사용하여 배터리 쌩쌩하며 박스 모두 그대로 있습니다. \n\n하판에 살짝 눌림자국 하나 있으며, 스크린 둘레 고무패킹은 상단이 살짝 손상은 있습니다.\n\n당산 직거래 및 상의하여 가져다드릴수있습니다\n\n택배거래도 가능합니다\n\n\n2012년 Mid 모델\ni7 2.3Ghz\n램 16GB\n윈도우 설치됨\nSSD 256GB\n\n9894-9993', '0', '22', '서울특별시 영등포구 당산제1동', '상점후기4', '이우주1상품12팔로워0', '21-04-27 23:11:55']
[2021-04-27 23:12:07,860][INFO|crawlingdata.py;80] >> ['mbpro_210427231201', 'mbpro', '2018 맥북프로 터치바 256G 팝니다', '850,000원', '16시간 전', '무조건 직거래만 이용합니다!\n\n1. 직거래 장소 : 왕십리 ~ 회기 \n(그 주변 사시면 맞춰드립니다)\n\n2. 세부설명 \n사진을 보시다시피 약간의 흠집 및 생활기스 정도가 있습니다. 연락 시 참고바랍니다. \n\n3. 85만원/ 쿨거래 시 82만원까지 네고 가능합니다. \n\n추가적인 문의사항이 있으시면 연락부탁드립니다~!', '0', '25', '서울특별시 동대문구 회기동지역인증', '상점후기', '왕십리회기상품1팔로워0', '21-04-27 23:12:01']
[2021-04-27 23:12:14,178][INFO|crawlingdata.py;80] >> ['mbpro_210427231207', 'mbpro', '(미개봉)맥북프로 16인치 새상품(네고가능)', '2,000,000원', '16시간 전', '✨ 상세내용 필독 후 문의 바랍니다!✨\n\n▶상점정보: 개인판매자가 아닌 전문업체입니다. 부가세 포함 결제시 현금영수증/세금계산서 발행 가능하며 거주 지역에 따라 직접 배송, 택배비 무료 서비스 지원 드리고 있습니다.\n\n▶기본 소요기간 연장으로 인한 판매가 임시 인하 되었음을 안내드립니다.\n\n▶배송기간: A상품 3~5개월 소요품/B상품 8주 소요품 중 선택 가능\n \u2028   ->상품 금액대별 유통처가 달라 유통구조 및 배송기간이 상이합니다. \n\n-.A 3-5개월 배송 소요품 프로모션 할인가 (애플코리아 미개봉)\n▶3~5개월내 수령 가능 제품 가격 (재고확인필수->구매시기에 따라 품절되었을수있음)\n✨16인치 기본형(512기가) - 200만원  \n✨16인치 고급형(1TB) -재고별도문의\n\n-.B 평균 8주 배송 소요품/ 지연시 12주 소요 할인가 (미개봉)\n✨16인치 기본형(512기가) - 220만원\n✨16인치 고급형(1TB) - 재고별도문의\n\n▶추가 할인:  2월 이벤트 학생네고 적용 (이벤트 2월 28일  마감) \n                      3월 이벤트 당일결제시 쿨거래네고 인상적용/ 부가세 할인 이벤트\n\n▶위 기제된 모든 가격은 부가세 비포함된 현금가 입니다.  (부가세 포함시 현금영수증 발행 가능합니다)\n\n▶애케플 가입 가능한 애플코리아 미개봉 정품 상품만 취급하며 리퍼 및 가개통 상품은 별도 판매하지 않습니다.\n\n▶직거래 문의: 주문시 신규재고 발주드리는 시스템입니다. 프로모션 상품은 예약 판매인 관계로 직거래가 어렵습니다.(미리 주문후 방문수령가능)\n\n▶주문전 주의 사항: 배송기간이 상당히 오래 소요되는 상품이오니 충분히 고민하신후 문의 부탁 드립니다. 코로나 19 문제로 물류 공급이 원활하지 않습니다. 물류지연이 빈번히 발생되고 있으며 이에 따른 배송트러블로 단가 인하되었습니다. 저렴한 가격만 보고 문의 주시는것보다는 상점 후기 참고 및 판매글 본문 내용에 적힌 기본 소요 배송기간을 꼭 참고하신 후에 구매 결정해주시면 감사드리겠습니다. \n\n▶배송지연 발생시 "배송지연 보상금 페이백" 정책 운영중입니다.\n     -> 꿀잼상점 플러스친구 게시판에 공지하였습니다.\n\n▶번개페이 문의: 번개페이는 꼭 카드결제가 필요하신 분들만 받겠습니다. 안전결제가 아닌 단순 카드결제 수단으로만 사용드리니 결제 진행전에 꼭 상담후에 진행해주세요,상담 진행 없이 임의 결제 진행 즉시 취소처리 드립니다.안전결제x)\n\n▶상담 플랫폼:모든 배송 문의는 카카오톡 플러스친구: @꿀잼상점 검색후 문의부탁드립니다.오픈카톡이 아닌 기업용 플러스친구로 검색후 문의 부탁드립니다. 평일 오전9시~저녁18시 상담사 실시간 대기\n\n▶할인가로 구매하신 경우 상품수령후 포토후기 필수\n', '471', '40653', '전국', '상점후기899', '꿀잼상점030상품38팔로워6443', '21-04-27 23:12:07']
[2021-04-27 23:12:20,510][INFO|crawlingdata.py;80] >> ['mbpro_210427231214', 'mbpro', '2019 맥북프로 13인치 터치바 256GB 램16', '1,550,000원', '16시간 전', '20년 3월초에 애플공홈에서 230만원 조금 넘게 구매했습니다.\n실사용시간 합산 5시간정도?되는거같은데 손에꼽을정도로만 켜봤지 정말 안썼고 카톡, 인터넷서핑 용도로 집에서만 사용해서 정말정말 깨끗합니다! 사이클수 8이에요 그정도로 사용 정말 안했어요~\n\n애플케어 23년 3월 7일까지\n원하시면 초기화 후 정품파이널컷 설치해드려요 (제가 직접 구매했어요)\n+멀티포트 새것도 드릴게요 사놓고 안썼습니다\n\n애플제품이 좋아서 맥북산건데 생각보다 불편하고 잘 안쓰게되어 판매합니다.\n맥북 박스 구매한 그대로 다있습니다.\n백라이트 키보드는 영어에요. 깔끔하게 쓰고싶어서 한글키보드 안넣었어요.\n\n구매하시면 4만원넘는 맥북 파우치도 같이드릴게요! 엄청 깔끔하고 예뻐요 (맨마지막 사진 첨부)\n문의 주세요 :) 인증도 원하시면 꼼꼼히해드려요.\n\u200b\n직거래는 경기도광주 초월, 쌍령, 경안동에서 가능합니다. 가급적 직거래 원해서 가까운 타지역이면 조율 가능해요.', '21', '1697', '경기도 광주시 초월읍지역인증', '상점후기8', '안뇽앙뇽앗뇽상품36팔로워4', '21-04-27 23:12:14']
[2021-04-27 23:12:26,836][INFO|crawlingdata.py;80] >> ['mbpro_210427231220', 'mbpro', '맥북프로 m1', '1,500,000원', '16시간 전', '맥북프로 m1 실버 256기가 입니다.\n1/16 가로수길 애플스토어에서 구매했습니다.\n한두번? 사용해서 거의 새상품이고 풀박스로 있습니다.\n궁금한점 연락주세요!', '1', '72', '인천광역시 계양구 계양3동', '상점후기71', 'dnjsrod3상품21팔로워20', '21-04-27 23:12:20']
[2021-04-27 23:12:33,192][INFO|crawlingdata.py;80] >> ['mbpro_210427231226', 'mbpro', '(새상품)맥북프로2020 13인치 M1칩 탑재 미개봉 네고', '1,050,000원', '16시간 전', '✨ 상세내용 필독 후 문의 바랍니다!✨\n\n▶상점정보: 개인판매자가 아닌 전문업체입니다. 부가세 포함 결제시 현금영수증/세금계산서 발행 가능하며 거주 지역에 따라 직접 배송, 택배비 무료 서비스 지원 드리고 있습니다.\n\n▶기본 소요기간 연장으로 인한 판매가 임시 인하 되었음을 안내드립니다.\n\n▶배송기간: A상품 5개월 소요품/B상품 8주 소요품 중 선택 가능\n \u2028   ->상품 금액대별 유통처가 달라 유통구조 및 배송기간이 상이합니다. \n\n-.A 5개월 배송 소요품 프로모션 할인가 (애플코리아 미개봉)\n▶3~5개월내 수령 가능 제품 가격 (재고확인필수->구매시기에 따라 품절되었을수있음)\n\n✨맥북프로 13인치 256기가 기본형 M1 - 105만원\n✨맥북프로 13인치 512기가 고급형 M1 - 135만원\n\n-.B 8주 배송 소요품 할인가 (미개봉)\n✨맥북프로 13인치 256기가 기본형 M1 -140만원\n✨맥북프로 13인치 512기가 고급형 M1 -170만원\n\n▶추가 할인:  학생 인증후에 학생네고 적용 가능 \u2028 /문의 당일 결제하신 경우 쿨거래네고 중복 적용 가능.\n\n▶위 기제된 모든 가격은 부가세 비포함된 현금가 입니다.  (부가세 포함시 현금영수증 발행 가능합니다)\n\n▶애케플 가입 가능한 애플코리아 미개봉 정품 상품만 취급하며 리퍼 및 가개통 상품은 별도 판매하지 않습니다.\n\n▶직거래 문의: 주문시 신규재고 발주드리는 시스템입니다. 프로모션 상품은 직거래가 어렵습니다.(미리 주문후 방문수령가능)\n\n▶주문전 주의 사항: 배송기간이 상당히 오래 소요되는 상품이오니 충분히 고민하신후 문의 부탁 드립니다. 코로나 19 문제로 물류 공급이 원활하지 않습니다. 물류지연이 빈번히 발생되고 있으며 이에 따른 배송트러블로 단가 인하되었습니다. 저렴한 가격만 보고 문의 주시는것보다는 상점 후기 참고 및 판매글 본문 내용에 적힌 기본 소요 배송기간을 꼭 참고하신 후에 구매 결정해주시면 감사드리겠습니다. \n\n▶배송지연 발생시 "배송지연 보상금 페이백" 정책 운영중입니다.\n     -> 꿀잼상점 플러스친구 게시판에 공지하였습니다.\n\n▶번개페이 문의: 번개페이는 꼭 카드결제가 필요하신 분들만 받겠습니다. 안전결제가 아닌 단순 카드결제 수단으로만 사용드리니 결제 진행전에 꼭 상담후에 진행해주세요,상담 진행 없이 임의 결제 진행 즉시 취소처리 드립니다.안전결제x)\n\n▶상담 플랫폼:모든 배송 문의는 카카오톡 플러스친구: @꿀잼상점 검색후 문의부탁드립니다.오픈카톡이 아닌 기업용 플러스친구로 검색후 문의 부탁드립니다. 평일 오전9시~저녁18시 상담사 실시간 대기\n\n▶할인가로 구매하신 경우 상품수령후 포토후기 필수\n', '449', '27453', '전국', '상점후기899', '꿀잼상점030상품38팔로워6443', '21-04-27 23:12:26']
[2021-04-27 23:12:39,549][INFO|crawlingdata.py;80] >> ['mbpro_210427231233', 'mbpro', '맥북 프로 2016 256기가', '650,000원', '16시간 전', '맥북 프로 16년식 256기가 판매 & 교신합니다\n\n교신은 맥북 에어2018이랑 아이패드 에어4랑 합니다\n\n찍힘이나 큰 기스같은거 없이 큰 하자 없습니다\n\n디스플레이 하자 조금 있습니다\n\n저렇게 가로선이 보입니다\n\n그리고 흰 화면 나오면 가장자리가 살짝 붉습니다\n\n영상보거나 할때는 큰 문제 없습니다\n\n저도 인강용으로 사용했습니다\n\n필요하시면 영상도 보내드리겠습니다\n\n풀 박스이고 충전기까지 다 있습니다\n\n수리한적 없습니다\n\n사이클수 250정도', '12', '709', '경상북도 칠곡군 석적읍지역인증', '상점후기58', 'ehdhur9상품142팔로워34', '21-04-27 23:12:33']
[2021-04-27 23:12:45,940][INFO|crawlingdata.py;80] >> ['mbpro_210427231239', 'mbpro', '맥북프로 13인치 (EARLY 2011)', '280,000원', '16시간 전', '* 맥북 프로 13인치 *\n\n모델 : EARLY 2011\nCPU : 2.7GHz INTEL CORE i7\n메모리 : 8GB\n저장장치 : 500GB HDD\n그래픽 : INTEL HD GRAPHICS 3000\nMAC OS : HIGH SIERRA\n\n외관은 사진처럼 상판 한쪽 모서리\n약간 눌렸고 그 외에는 깨끗하며\n정상 동작합니다.\n키보드, 무선랜, USB, DVD 정상이며\n배터리는 3 사이클 입니다.\n사진의 노트북과 맥세이프만 있고\n인천 동암역에서 상태 확인 후 직거래 \n또는 택배 착불로 거래 가능합니다.\n', '1', '85', '인천광역시 부평구 십정2동', '상점후기15', '파파야3458상품45팔로워35', '21-04-27 23:12:39']
